ano,id_municipio,grupo_idade,sexo,cor_raca,populacao_residente
2010,2913606,45 a 49 anos,Mulheres,Parda,3512
2022,2913606,45 a 49 anos,Homens,Indígena,249
2022,2913606,50 a 54 anos,Mulheres,Branca,1054
2010,2913606,50 a 54 anos,Mulheres,Branca,1098
2010,2913606,50 a 54 anos,Mulheres,Preta,951
2022,2913606,50 a 54 anos,Homens,Parda,3033
2022,2913606,55 a 59 anos,Homens,Amarela,10
2022,2913606,55 a 59 anos,Mulheres,Amarela,12
2022,2913606,55 a 59 anos,Homens,Parda,2715
2010,2913606,55 a 59 anos,Homens,Parda,2035
2022,2913606,60 a 64 anos,Mulheres,Amarela,3
2022,2913606,60 a 64 anos,Homens,Preta,1035
2010,2913606,60 a 64 anos,Mulheres,Indígena,47
2022,2913606,60 a 64 anos,Homens,Branca,831
2010,2913606,60 a 64 anos,Homens,Branca,631
2010,2913606,65 a 69 anos,Mulheres,Amarela,11
2010,2913606,65 a 69 anos,Mulheres,Preta,389
2022,2913606,65 a 69 anos,Mulheres,Indígena,136
2022,2913606,70 a 74 anos,Homens,Branca,520
2010,2913606,70 a 74 anos,Mulheres,Amarela,12
2022,2913606,70 a 74 anos,Mulheres,Parda,1508
2022,2913606,75 a 79 anos,Mulheres,Amarela,3
2010,2913606,75 a 79 anos,Mulheres,Indígena,25
2022,2913606,80 a 84 anos,Mulheres,Amarela,2
2010,2913606,80 a 84 anos,Homens,Amarela,5
2022,2913606,80 a 84 anos,Homens,Amarela,5
2010,2913606,80 a 84 anos,Homens,Indígena,18
2022,2913606,80 a 84 anos,Mulheres,Preta,285
2022,2913606,80 a 84 anos,Homens,Preta,162
2022,2913606,80 a 84 anos,Homens,Parda,468
2022,2913606,85 a 89 anos,Homens,Indígena,17
2022,2913606,85 a 89 anos,Mulheres,Parda,382
2022,2913606,85 a 89 anos,Mulheres,Preta,133
2010,2913606,85 a 89 anos,Homens,Parda,162
2022,2913606,90 a 94 anos,Homens,Indígena,7
2010,2913606,90 a 94 anos,Homens,Preta,31
2010,2913606,90 a 94 anos,Mulheres,Parda,94
2022,2913606,95 a 99 anos,Homens,Indígena,
2010,2913606,95 a 99 anos,Homens,Preta,7
2022,2913606,95 a 99 anos,Mulheres,Preta,25
2010,2913606,95 a 99 anos,Mulheres,Branca,30
2022,2913606,100 anos ou mais,Mulheres,Amarela,
2010,2913606,100 anos ou mais,Mulheres,Indígena,2
2022,2913606,100 anos ou mais,Homens,Preta,4
2022,2913606,100 anos ou mais,Homens,Branca,6
2022,2913606,100 anos ou mais,Mulheres,Preta,7
2010,2913606,100 anos ou mais,Homens,Parda,8
2010,2913606,100 anos ou mais,Mulheres,Preta,10
2022,2913606,100 anos ou mais,Mulheres,Parda,18
