ano,id_municipio,tipo_destino_lixo,grupo_idade,cor_raca,moradores
2022,2913606,Coletado,85 a 89 anos,Branca,299
2022,2913606,Coletado,95 a 99 anos,Indígena,4
2022,2913606,Outro destino,5 a 9 anos,Preta,12
2022,2913606,Outro destino,10 a 14 anos,Preta,17
2022,2913606,Outro destino,15 a 19 anos,Branca,16
2022,2913606,Outro destino,20 a 24 anos,Indígena,5
2022,2913606,Outro destino,30 a 34 anos,Preta,22
2022,2913606,Outro destino,40 a 44 anos,Indígena,5
2022,2913606,Outro destino,40 a 44 anos,Branca,21
2022,2913606,Outro destino,45 a 49 anos,Parda,54
2022,2913606,Outro destino,75 a 79 anos,Parda,19
2022,2913606,Outro destino,95 a 99 anos,Branca,1
2022,2913606,Outro destino,95 a 99 anos,Amarela,
2022,2913606,Queimado na propriedade,5 a 9 anos,Branca,70
2022,2913606,Queimado na propriedade,40 a 44 anos,Amarela,3
2022,2913606,Queimado na propriedade,40 a 44 anos,Parda,581
2022,2913606,Queimado na propriedade,70 a 74 anos,Amarela,1
2022,2913606,Queimado na propriedade,80 a 84 anos,Parda,87
2022,2913606,Queimado na propriedade,95 a 99 anos,Branca,3
2022,2913606,Enterrado na propriedade,5 a 9 anos,Indígena,4
2022,2913606,Enterrado na propriedade,30 a 34 anos,Indígena,5
2022,2913606,Enterrado na propriedade,35 a 39 anos,Preta,4
2022,2913606,Enterrado na propriedade,45 a 49 anos,Parda,13
2022,2913606,Enterrado na propriedade,50 a 54 anos,Indígena,2
2022,2913606,Enterrado na propriedade,70 a 74 anos,Indígena,2
2022,2913606,Enterrado na propriedade,75 a 79 anos,Amarela,
2022,2913606,Enterrado na propriedade,80 a 84 anos,Preta,1
2022,2913606,Depositado em caçamba de serviço de limpeza,10 a 14 anos,Parda,1474
2022,2913606,Depositado em caçamba de serviço de limpeza,45 a 49 anos,Parda,1331
2022,2913606,Depositado em caçamba de serviço de limpeza,55 a 59 anos,Parda,1060
2022,2913606,Depositado em caçamba de serviço de limpeza,75 a 79 anos,Amarela,
2022,2913606,Depositado em caçamba de serviço de limpeza,75 a 79 anos,Parda,277
2022,2913606,Depositado em caçamba de serviço de limpeza,95 a 99 anos,Amarela,
2022,2913606,Coletado no domicílio por serviço de limpeza,30 a 34 anos,Preta,2243
2022,2913606,Coletado no domicílio por serviço de limpeza,40 a 44 anos,Branca,1954
2022,2913606,Coletado no domicílio por serviço de limpeza,60 a 64 anos,Parda,3953
2022,2913606,Coletado no domicílio por serviço de limpeza,90 a 94 anos,Branca,127
2022,2913606,Coletado no domicílio por serviço de limpeza,95 a 99 anos,Parda,59
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",5 a 9 anos,Indígena,26
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",25 a 29 anos,Preta,48
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",40 a 44 anos,Preta,48
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",55 a 59 anos,Indígena,14
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",65 a 69 anos,Amarela,
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",70 a 74 anos,Indígena,3
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",70 a 74 anos,Parda,35
2022,2913606,"Jogado em terreno baldio, encosta ou área pública",90 a 94 anos,Indígena,
2022,2913606,Queimado na propriedade,5 a 9 anos,Parda,533
2022,2913606,Coletado,5 a 9 anos,Parda,6305
2022,2913606,Outro destino,60 a 64 anos,Parda,39
2022,2913606,Coletado no domicílio por serviço de limpeza,35 a 39 anos,Parda,5717
2022,2913606,Coletado,35 a 39 anos,Parda,7258
2022,2913606,Coletado no domicílio por serviço de limpeza,85 a 89 anos,Parda,465
2022,2913606,Enterrado na propriedade,85 a 89 anos,Parda,1
2022,2913606,Coletado no domicílio por serviço de limpeza,25 a 29 anos,Parda,4709
2022,2913606,Outro destino,85 a 89 anos,Parda,10
2022,2913606,Outro destino,70 a 74 anos,Parda,18
2022,2913606,Outro destino,100 anos ou mais,Parda,
2022,2913606,Coletado no domicílio por serviço de limpeza,15 a 19 anos,Preta,2061
2022,2913606,Outro destino,80 a 84 anos,Preta,6
2022,2913606,Coletado,100 anos ou mais,Preta,9
2022,2913606,Outro destino,60 a 64 anos,Preta,18
2022,2913606,Outro destino,0 a 4 anos,Preta,16
