id_municipio,populacao_residente,area_unidade_territorial
3542206,28588,1587
2210953,2949,1587
2408003,264577,2099
3164308,7129,2099
4307609,47924,52
4128708,9706,308
3164100,5103,308
4322301,8363,308
2408201,31942,308
3162948,7793,308
4125753,5784,308
4108601,28437,564
4108809,32097,564
3100906,18448,820
2907806,30907,820
2210706,14350,1076
5202353,2946,1076
2915007,13472,1332
4203253,2625,1332
2917409,14436,1332
5107156,2122,1332
1709500,85125,1844
3121605,47702,3892
2802700,8321,53
4203956,23975,53
3509957,4931,53
2704203,24740,309
3124906,10801,309
3544806,6437,309
4107157,4557,309
3542305,4494,309
3523602,16148,565
2922854,7538,565
3138203,104761,565
2200905,5369,821
1709807,1590,821
3529708,19441,821
3170008,11708,821
2102358,12918,821
1506401,7445,1077
2201507,26300,1589
2913606,178649,1589
2928901,32828,15157
3553658,2619,54
3547908,6775,310
4217501,18620,310
2500536,5578,310
4322707,26710,310
2202711,4911,310
3121001,5465,310
5202601,3284,566
2901155,15137,822
4120903,30738,822
3124807,6840,822
2609303,14166,822
5217401,32373,1078
2211308,22279,1334
2906303,32683,1334
2205151,5613,1334
2901304,13080,1590
2203107,10503,1846
1707108,7024,2358
1506187,53143,8246
3163607,2753,55
4318614,2380,55
2405009,7834,55
3145505,2555,55
4204756,1968,55
2515807,6828,55
3120508,10374,311
3513108,33281,311
2915106,13803,311
2907608,16348,567
4118204,145829,823
4309654,5976,823
2308104,45561,1079
5100508,8009,1847
1400100,413486,5687
1302900,61204,39991
5201207,924,56
2503803,5753,56
2608503,19003,56
3527306,51847,56
2404606,11615,312
3528304,3165,312
4128609,7932,312
3205101,73423,312
5008404,6336,312
2304400,2428708,312
4106852,2892,312
3167400,6179,312
2202133,6020,312
3520509,255748,312
2105658,5146,568
2308005,37697,568
5206602,2927,568
2206407,10255,568
3518503,15013,568
3118908,7547,824
4124707,10830,824
2928059,13896,824
3538907,22431,824
5203203,10371,1080
2930303,17066,1592
1505486,41097,11832
5103254,25766,27960
4314035,4319,57
3510153,6283,57
3525854,3056,57
4217956,2329,57
2502052,3504,57
2701407,32106,313
2707305,24071,313
2911857,12309,313
3500907,3451,313
3123502,1829,313
4123006,15223,313
2304350,24173,569
3517802,7441,569
2108454,20479,825
2202802,4932,825
2301851,17195,1081
2109403,13614,1337
2602803,52097,1337
2605301,31843,1337
5213772,3779,1337
5106000,5956,1337
3129103,5192,1849
5211800,45223,1849
2915601,59605,2361
1400027,13927,28473
1503754,24042,53305
4212502,33663,58
2919207,203331,58
3163706,44798,58
4208302,75940,58
4320008,132107,58
3146602,1474,58
4205357,1783,58
3101409,2952,58
