id_municipio,forma_declaracao_idade,sexo,idade,idade_anos,grupo_idade,populacao_residente
2913606,Idade presumida,Mulheres,75 anos,75.0,75 a 79 anos,89
2913606,Idade presumida,Mulheres,77 anos,77.0,75 a 79 anos,60
2913606,Data de nascimento,Homens,78 anos,78.0,75 a 79 anos,231
2913606,Data de nascimento,Mulheres,8 meses,0.66666666666666663,0 a 4 anos,87
2913606,Data de nascimento,Homens,8 meses,0.66666666666666663,0 a 4 anos,74
2913606,Idade presumida,Mulheres,81 anos,81.0,80 a 84 anos,43
2913606,Data de nascimento,Homens,85 anos,85.0,85 a 89 anos,80
2913606,Data de nascimento,Homens,86 anos,86.0,85 a 89 anos,90
2913606,Data de nascimento,Mulheres,88 anos,88.0,85 a 89 anos,99
2913606,Data de nascimento,Homens,89 anos,89.0,85 a 89 anos,56
2913606,Data de nascimento,Mulheres,11 meses,0.083333333333333329,0 a 4 anos,84
2913606,Idade presumida,Homens,97 anos,97.0,95 a 99 anos,2
2913606,Idade presumida,Mulheres,3 meses,0.25,0 a 4 anos,3
2913606,Data de nascimento,Homens,99 anos,99.0,95 a 99 anos,3
2913606,Idade presumida,Homens,10 meses,0.0,0 a 4 anos,3
2913606,Idade presumida,Mulheres,98 anos,98.0,95 a 99 anos,5
2913606,Idade presumida,Homens,9 meses,0.75,0 a 4 anos,6
2913606,Idade presumida,Homens,11 meses,0.083333333333333329,0 a 4 anos,6
2913606,Idade presumida,Homens,88 anos,88.0,85 a 89 anos,12
2913606,Data de nascimento,Homens,95 anos,95.0,95 a 99 anos,12
2913606,Idade presumida,Mulheres,96 anos,96.0,95 a 99 anos,16
2913606,Idade presumida,Mulheres,89 anos,89.0,85 a 89 anos,23
2913606,Data de nascimento,Mulheres,94 anos,94.0,90 a 94 anos,27
2913606,Idade presumida,Mulheres,1 ano,1.0,0 a 4 anos,102
2913606,Idade presumida,Mulheres,5 anos,5.0,5 a 9 anos,223
2913606,Data de nascimento,Homens,5 anos,5.0,5 a 9 anos,997
2913606,Idade presumida,Homens,6 anos,6.0,5 a 9 anos,192
2913606,Data de nascimento,Homens,8 anos,8.0,5 a 9 anos,993
2913606,Data de nascimento,Homens,9 anos,9.0,5 a 9 anos,1005
2913606,Data de nascimento,Mulheres,10 anos,10.0,10 a 14 anos,939
